iter	Accuracy	MultiClass
251	1	0.01404911945
252	1	0.01396255719
253	1	0.01387565044
254	1	0.01377153702
255	1	0.01369430993
256	1	0.01361239166
257	1	0.0135208599
258	1	0.01344273288
259	1	0.01335695604
260	1	0.01328127746
261	1	0.01320570897
262	1	0.01312689675
263	1	0.01305127973
264	1	0.01297036162
265	1	0.01289103858
266	1	0.01283677873
267	1	0.01275815441
268	1	0.01267628287
269	1	0.01260225663
270	1	0.01253216968
271	1	0.01245295937
272	1	0.01237875707
273	1	0.01232161116
274	1	0.01226497184
275	1	0.0121923153
276	1	0.01213801084
277	1	0.01207296983
278	1	0.01202593262
279	1	0.01193991643
280	1	0.01186587748
281	1	0.01180055185
282	1	0.01174720077
283	1	0.01168144156
284	1	0.01163646238
285	1	0.0115805324
286	1	0.01149473188
287	1	0.01143391747
288	1	0.01137159403
289	1	0.01132128364
290	1	0.0112571199
291	1	0.01121526605
292	1	0.01115416122
293	1	0.01109701004
294	1	0.01103648563
295	1	0.01097791992
296	1	0.01092256185
297	1	0.01086938345
298	1	0.01081515062
299	1	0.01075366715
300	1	0.01069895599
301	1	0.01063228925
302	1	0.01058270849
303	1	0.01052121453
304	1	0.01046631283
305	1	0.01041366369
306	1	0.01036738599
307	1	0.01031812774
308	1	0.01028398322
309	1	0.01024015183
310	1	0.01019030563
311	1	0.01014585133
312	1	0.01008509851
313	1	0.01003268192
314	1	0.009986799076
315	1	0.009952969106
316	1	0.009908206062
317	1	0.009849752382
318	1	0.009817967789
319	1	0.009776708728
320	1	0.009743895725
321	1	0.009699672174
322	1	0.009660997813
323	1	0.009622358517
324	1	0.009573626466
325	1	0.009529251348
326	1	0.009487870885
327	1	0.009447825658
328	1	0.009413159263
329	1	0.00937381216
330	1	0.009325796384
331	1	0.009279093301
332	1	0.00924446788
333	1	0.009198398459
334	1	0.009159602931
335	1	0.009119114688
336	1	0.009079041611
337	1	0.009043481794
338	1	0.009004159711
339	1	0.008965233209
340	1	0.008923222721
341	1	0.008897345649
342	1	0.008862494074
343	1	0.008824917205
344	1	0.008802409803
345	1	0.008773021669
346	1	0.008731817916
347	1	0.008698555495
348	1	0.008662203318
349	1	0.008627686042
350	1	0.008590506439
351	1	0.008574221212
352	1	0.008543112089
353	1	0.008519518937
354	1	0.008480196107
355	1	0.008433343171
356	1	0.00839303647
357	1	0.008361926537
358	1	0.008327392702
359	1	0.008304422785
360	1	0.008274230924
361	1	0.008245254723
362	1	0.008219513655
363	1	0.008196615339
364	1	0.008166058144
365	1	0.00813788357
366	1	0.008107815916
367	1	0.008076531121
368	1	0.008045237318
369	1	0.008015607042
370	1	0.00798770019
371	1	0.007954693747
372	1	0.007927993903
373	1	0.007893538721
374	1	0.007861192935
375	1	0.007823879792
376	1	0.007798027457
377	1	0.00776645672
378	1	0.007745518942
379	1	0.007713526172
380	1	0.007685312437
381	1	0.007657335803
382	1	0.007629387913
383	1	0.0076113327
384	1	0.007585033005
385	1	0.007557871763
386	1	0.007530933076
387	1	0.007499697954
388	1	0.007475176351
389	1	0.007447435682
390	1	0.007421287045
391	1	0.007383096737
392	1	0.007359399399
393	1	0.007326042309
394	1	0.007298398474
395	1	0.007275833517
396	1	0.007255613669
397	1	0.007234270267
398	1	0.007203682447
399	1	0.007173326232
400	1	0.007146732789
401	1	0.007123610439
402	1	0.007099327665
403	1	0.007078343804
404	1	0.00705593625
405	1	0.007033298444
406	1	0.007007387718
407	1	0.006983729249
408	1	0.006963022706
409	1	0.006939774692
410	1	0.006919298762
411	1	0.006899409009
412	1	0.006878931748
413	1	0.006856269647
414	1	0.006833047367
415	1	0.006810930027
416	1	0.006790022434
417	1	0.006770788157
418	1	0.006750057094
419	1	0.006728694022
420	1	0.006709986756
421	1	0.006688573068
422	1	0.006667316731
423	1	0.006651417368
424	1	0.006636841167
425	1	0.006622562392
426	1	0.006606137767
427	1	0.006587871294
428	1	0.006568201603
429	1	0.00655017761
430	1	0.006530000032
431	1	0.00650996461
432	1	0.006488645896
433	1	0.006468898312
434	1	0.006445992972
435	1	0.006426504666
436	1	0.006407150795
437	1	0.006391129551
438	1	0.006370177013
439	1	0.006349053999
440	1	0.006328640894
441	1	0.006311535091
442	1	0.006290478409
443	1	0.006270181377
444	1	0.006255564957
445	1	0.006229900823
446	1	0.006211728343
447	1	0.006199830737
448	1	0.006182614267
449	1	0.006164752489
450	1	0.006143815009
451	1	0.006126176994
452	1	0.006108545286
453	1	0.006091137326
454	1	0.006075773406
455	1	0.006056293208
456	1	0.006042136605
457	1	0.006025025648
458	1	0.00600903469
459	1	0.005995002231
460	1	0.005978153685
461	1	0.00596141292
462	1	0.005945689707
463	1	0.005930194643
464	1	0.005910997769
465	1	0.005894564697
466	1	0.005879825306
467	1	0.005861192107
468	1	0.005846644598
469	1	0.00583085068
470	1	0.005816937755
471	1	0.005804785733
472	1	0.00578909901
473	1	0.005771126184
474	1	0.005757123083
475	1	0.005742482078
476	1	0.005731412704
477	1	0.005721351659
478	1	0.005705071335
479	1	0.005690025495
480	1	0.005673134507
481	1	0.005657615858
482	1	0.005644108343
483	1	0.005630195041
484	1	0.0056186358
485	1	0.005602344147
486	1	0.005589565101
487	1	0.005575175668
488	1	0.00556346019
489	1	0.005549957322
490	1	0.005534381541
491	1	0.005521048825
492	1	0.005509144933
493	1	0.005496938015
494	1	0.005486050665
495	1	0.005469125408
496	1	0.00545378588
497	1	0.005441760141
498	1	0.005427959197
499	1	0.005412430518
